
2024/10/10 (11:05:30) | ===> btop++ v.1.4.0
2024/10/10 (11:05:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/10 (11:05:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:59:13) | ===> btop++ v.1.4.0
2024/10/10 (12:59:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/10 (12:59:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (23:14:38) | ===> btop++ v.1.4.0
2024/10/11 (23:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (23:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (09:33:34) | ===> btop++ v.1.4.0
2024/10/12 (09:33:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (09:33:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (21:59:39) | ===> btop++ v.1.4.0
2024/10/12 (21:59:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (21:59:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:08:35) | ===> btop++ v.1.4.0
2024/10/18 (10:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/18 (10:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:32:14) | ===> btop++ v.1.4.0
2024/10/18 (10:32:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/18 (10:32:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (20:04:53) | ===> btop++ v.1.4.0
2024/10/23 (20:04:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/23 (20:04:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (12:20:10) | ===> btop++ v.1.4.0
2024/10/26 (12:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/26 (12:20:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (10:09:04) | ===> btop++ v.1.4.0
2024/10/28 (10:09:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (10:09:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (14:46:24) | ===> btop++ v.1.4.0
2024/10/28 (14:46:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (14:46:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:41:01) | ===> btop++ v.1.4.0
2024/10/31 (15:41:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:41:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (16:01:04) | ===> btop++ v.1.4.0
2024/10/31 (16:01:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (16:01:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:11:27) | ===> btop++ v.1.4.0
2024/11/01 (16:11:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (16:11:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:12:23) | ===> btop++ v.1.4.0
2024/11/01 (16:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (16:12:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (11:41:16) | ===> btop++ v.1.4.0
2024/11/02 (11:41:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (11:41:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (12:10:25) | ===> btop++ v.1.4.0
2024/11/02 (12:10:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (12:10:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (10:12:31) | ===> btop++ v.1.4.0
2024/11/03 (10:12:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (10:12:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (11:11:36) | ===> btop++ v.1.4.0
2024/11/03 (11:11:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (11:11:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (11:21:07) | ===> btop++ v.1.4.0
2024/11/03 (11:21:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (11:21:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (19:54:51) | ===> btop++ v.1.4.0
2024/11/03 (19:54:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (19:54:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (16:12:37) | ===> btop++ v.1.4.0
2024/11/04 (16:12:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (16:12:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (15:25:30) | ===> btop++ v.1.4.0
2024/11/05 (15:25:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/05 (15:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (15:50:28) | ===> btop++ v.1.4.0
2024/11/05 (15:50:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/05 (15:50:28) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/05 (20:48:05) | ERROR: Stall in Runner thread, restarting!

2024/11/08 (06:07:50) | ===> btop++ v.1.4.0
2024/11/08 (06:07:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (06:07:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (06:58:13) | ===> btop++ v.1.4.0
2024/11/08 (06:58:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (06:58:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:15:26) | ===> btop++ v.1.4.0
2024/11/09 (21:15:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (21:15:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (21:51:45) | ===> btop++ v.1.4.0
2024/11/14 (21:51:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (21:51:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (21:59:14) | ===> btop++ v.1.4.0
2024/11/14 (21:59:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (21:59:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (10:38:44) | ===> btop++ v.1.4.0
2024/11/16 (10:38:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (10:38:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (10:41:31) | ===> btop++ v.1.4.0
2024/11/16 (10:41:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (10:41:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (12:16:07) | ===> btop++ v.1.4.0
2024/11/16 (12:16:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (12:16:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (12:16:40) | ===> btop++ v.1.4.0
2024/11/16 (12:16:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (12:16:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (12:21:53) | ===> btop++ v.1.4.0
2024/11/16 (12:21:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (12:21:53) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/16 (12:46:05) | ERROR: Stall in Runner thread, restarting!

2024/11/16 (17:03:12) | ===> btop++ v.1.4.0
2024/11/16 (17:03:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (17:03:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (12:20:05) | ===> btop++ v.1.4.0
2024/11/18 (12:20:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (12:20:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (12:23:44) | ===> btop++ v.1.4.0
2024/11/18 (12:23:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (12:23:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (12:52:56) | ===> btop++ v.1.4.0
